"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"ingénieur / ingénieure logistique";https://www.onisep.fr/http/redirection/metier/slug/MET.733;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE O : transport, logistique";N1301;"Conception et organisation de la chaîne logistique";https://candidat.francetravail.fr/metierscope/fiche-metier/N1301;"logistique, transport/logistique"
"costumier / costumière";https://www.onisep.fr/http/redirection/metier/slug/MET.446;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE V : arts, spectacle, audiovisuel";L1502;"Costume et habillage spectacle";https://candidat.francetravail.fr/metierscope/fiche-metier/L1502;"arts, culture, artisanat/arts du spectacle| matières premières, fabrication, industries/textile, habillement"
"stratifieur / stratifieuse mouliste";https://www.onisep.fr/http/redirection/metier/slug/MET.7923;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H3203;"Fabrication de pièces en matériaux composites";https://candidat.francetravail.fr/metierscope/fiche-metier/H3203;"matières premières, fabrication, industries/céramique, composites| matières premières, fabrication, industries/plasturgie"
"sommelier / sommelière";https://www.onisep.fr/http/redirection/metier/slug/MET.4;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";G1804;Sommellerie;https://candidat.francetravail.fr/metierscope/fiche-metier/G1804;"hôtellerie-restauration, tourisme/restauration"
"commercial / commerciale sédentaire";https://www.onisep.fr/http/redirection/metier/slug/MET.8012;"Les métiers du commerce et de la vente";"Zoom sur les métiers";2022;9782273016230;"GFE U : communication, médias";D1402;"Relation commerciale grands comptes et entreprises";https://candidat.francetravail.fr/metierscope/fiche-metier/D1402;"commerce, marketing, vente/marketing, vente"
"responsable de fabrication en chimie";https://www.onisep.fr/http/redirection/metier/slug/MET.628;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;sciences/chimie
"technicien / technicienne laboratoire route";https://www.onisep.fr/http/redirection/metier/slug/MET.7967;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";;;;"matières premières, fabrication, industries/matériaux| sciences/physique| construction, architecture, travaux publics/travaux publics"
"conseiller / conseillère microcrédit";https://www.onisep.fr/http/redirection/metier/slug/MET.96;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";;;;"banque, assurances, immobilier/banque| commerce, marketing, vente/marketing, vente"
"technicien / technicienne de maintenance industrielle";https://www.onisep.fr/http/redirection/metier/slug/MET.866;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";I1304;"Installation et maintenance d'équipements industriels et d'exploitation";https://candidat.francetravail.fr/metierscope/fiche-metier/I1304;"mécanique/automatismes| électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)"
"formateur / formatrice technique en agroéquipement";https://www.onisep.fr/http/redirection/metier/slug/MET.118;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE A : agriculture";;;;"mécanique/machinisme agricole| matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)"
"préfet / préfète";https://www.onisep.fr/http/redirection/metier/slug/MET.7928;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1405;"Représentation de l'Etat sur le territoire national ou international";https://candidat.francetravail.fr/metierscope/fiche-metier/K1405;"économie, droit, politique/droit public| économie, droit, politique/sciences économiques| économie, droit, politique/sciences politiques"
"commercial / commerciale export";https://www.onisep.fr/http/redirection/metier/slug/MET.453;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";D1402;"Relation commerciale grands comptes et entreprises";https://candidat.francetravail.fr/metierscope/fiche-metier/D1402;"commerce, marketing, vente/commerce international| commerce, marketing, vente/marketing, vente"
"puériculteur / puéricultrice";https://www.onisep.fr/http/redirection/metier/slug/MET.163;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1507;"Soins infirmiers spécialisés en puériculture";https://candidat.francetravail.fr/metierscope/fiche-metier/J1507;"santé, social, sport/paramédical"
"prototypiste en matériaux souples";https://www.onisep.fr/http/redirection/metier/slug/MET.719;"Mode et luxe";Parcours;2024;9782273016803;"GFE L : textile, habillement, cuir";H2411;"Montage de prototype cuir et matériaux souples";https://candidat.francetravail.fr/metierscope/fiche-metier/H2411;"matières premières, fabrication, industries/textile, habillement"
"développeur rural / développeuse rurale humanitaire";https://www.onisep.fr/http/redirection/metier/slug/MET.100;;"pas de publication Onisep spécifique";;;"GFE A : agriculture";K1802;"Développement local";https://candidat.francetravail.fr/metierscope/fiche-metier/K1802;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/développement agricole| économie, droit, politique/sciences économiques"
"chef / cheffe de chantier en installations électriques";https://www.onisep.fr/http/redirection/metier/slug/MET.286;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";F1202;"Direction de chantier du BTP";https://candidat.francetravail.fr/metierscope/fiche-metier/F1202;"électricité, électronique, robotique/électrotechnique| construction, architecture, travaux publics/équipement technique"
"ingénieur / ingénieure production dans les biotechnologies";https://www.onisep.fr/http/redirection/metier/slug/MET.843;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;"sciences/biologie| matières premières, fabrication, industries/méthodes industrialisation"
"pilote de ligne automatisée";https://www.onisep.fr/http/redirection/metier/slug/MET.796;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2020;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2301;"Conduite d'équipement de production chimique ou pharmaceutique";https://candidat.francetravail.fr/metierscope/fiche-metier/H2301;"mécanique/automatismes| matières premières, fabrication, industries/fabrication, productique"
"ingénieur / ingénieure chimiste en développement analytique";https://www.onisep.fr/http/redirection/metier/slug/MET.738;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;sciences/chimie
"économe de flux";https://www.onisep.fr/http/redirection/metier/slug/MET.60;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies"
"géomaticien / géomaticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.192;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.francetravail.fr/metierscope/fiche-metier/M1808;"environnement, énergies, propreté/aménagement du territoire| histoire-géographie, psychologie, sociologie/géographie| sciences/sciences de la Terre"
"hot liner";https://www.onisep.fr/http/redirection/metier/slug/MET.799;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";I1401;"Maintenance informatique et bureautique";https://candidat.francetravail.fr/metierscope/fiche-metier/I1401;"informatique, Internet/informatique (généralités)"
"vendeur-magasinier / vendeuse-magasinière en fournitures automobiles";https://www.onisep.fr/http/redirection/metier/slug/MET.317;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1212;"Vente en décoration et équipement du foyer";https://candidat.francetravail.fr/metierscope/fiche-metier/D1212;"commerce, marketing, vente/achat, approvisionnement| mécanique/automobile"
"auditeur / auditrice qualité";https://www.onisep.fr/http/redirection/metier/slug/MET.729;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/maintenance, qualité"
"technicien électronicien / technicienne électronicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.198;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE H : électricité, énergie, électronique";I1305;"Installation et maintenance électronique";https://candidat.francetravail.fr/metierscope/fiche-metier/I1305;"électricité, électronique, robotique/électronique"
"technicien électronicien / technicienne électronicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.198;"Les métiers de l'électronique et de la photonique";"Zoom sur les métiers";2023;9782273016254;"GFE H : électricité, énergie, électronique";I1305;"Installation et maintenance électronique";https://candidat.francetravail.fr/metierscope/fiche-metier/I1305;"électricité, électronique, robotique/électronique"
"audiodescripteur / audiodescriptrice";https://www.onisep.fr/http/redirection/metier/slug/MET.327;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE U : communication, médias";L1203;"Art dramatique";https://candidat.francetravail.fr/metierscope/fiche-metier/L1203;"information-communication, audiovisuel/audiovisuel| lettres, langues, enseignement/lettres, linguistique"
"tapissier / tapissière d'ameublement";https://www.onisep.fr/http/redirection/metier/slug/MET.177;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE V : arts, spectacle, audiovisuel";B1806;"Tapisserie - décoration en ameublement";https://candidat.francetravail.fr/metierscope/fiche-metier/B1806;"arts, culture, artisanat/artisanat d'art"
"courtier / courtière";https://www.onisep.fr/http/redirection/metier/slug/MET.925;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";C1103;"Courtage en assurances";https://candidat.francetravail.fr/metierscope/fiche-metier/C1103;"banque, assurances, immobilier/assurances"
"chef / cheffe de station de traitement des eaux";https://www.onisep.fr/http/redirection/metier/slug/MET.350;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/gestion de l'eau"
